animal_id,datetime_intake,found_location,intake_type,intake_condition,animal_type_intake,breed_intake,color_intake,datetime_outcome,date_of_birth,binary_outcome,neuter_status_intake,sex,neuter_status_outcome,age_upon_intake_days,age_upon_outcome_days,time_in_shelter,month_intake,month_outcome,time_in_shelter_days,found_city,animal_breed,animal_color
A813828,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Chihuahua Shorthair Mix,Brown,2020-03-24 12:43:00,2020-02-18 00:00:00,False,Not neutered,Male,Not neutered,1,35.0,34 days 00:51:00.000000000,2,3,34.0,Travis (TX),Chihuahua ,Brown
A813827,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Chihuahua Shorthair Mix,Brown,2020-03-24 12:43:00,2020-02-18 00:00:00,False,Not neutered,Male,Not neutered,1,35.0,34 days 00:51:00.000000000,2,3,34.0,Travis (TX),Chihuahua ,Brown
A813826,2020-02-19 11:52:00,Travis (TX),Owner Surrender,Nursing,Dog,Chihuahua Shorthair Mix,Red,2020-03-02 09:06:00,2020-02-18 00:00:00,True,Not neutered,,Not neutered,1,7.0,11 days 21:14:00.000000000,2,3,11.0,Travis (TX),Chihuahua ,Red
A813824,2020-02-19 11:40:00,2525 West New Hope Drive in Cedar Park (TX),Stray,Normal,Dog,Black Mouth Cur,Red/White,2020-02-25 17:31:00,2019-08-19 00:00:00,False,Not neutered,Female,Neutered,182,182.0,6 days 05:51:00.000000000,2,2,6.0,Cedar Park (TX),other,Red
A813823,2020-02-19 10:40:00,Austin (TX),Owner Surrender,Normal,Dog,Standard Schnauzer,Gray/White,2020-02-20 11:09:00,2017-02-19 00:00:00,False,Neutered,Male,Neutered,1095,1095.0,1 days 00:29:00.000000000,2,2,1.0,Austin (TX),other,Gray
A813822,2020-02-19 10:27:00,Southpark Meadows Drive And West Slaughter Lane in Austin (TX),Public Assist,Normal,Dog,Parson Russell Terrier,White/Brown,2020-02-20 17:51:00,2013-07-06 00:00:00,False,Neutered,Male,Neutered,2190,2190.0,1 days 07:24:00.000000000,2,2,1.0,Austin (TX),other,White
A813819,2020-02-19 07:54:00,5207 Brodie Lane in Austin (TX),Abandoned,Normal,Dog,Pointer/Labrador Retriever,White/Brown,2020-02-26 11:32:00,2015-02-19 00:00:00,False,Neutered,Male,Neutered,1825,1825.0,7 days 03:38:00.000000000,2,2,7.0,Austin (TX),other,White
A813818,2020-02-19 07:50:00,1712 East 11Th Street in Austin (TX),Wildlife,Normal,Other,Bat,Black,2020-02-20 10:55:00,2019-02-19 00:00:00,True,Not neutered,,Not neutered,365,365.0,1 days 03:05:00.000000000,2,2,1.0,Austin (TX),Bat,Black
A813817,2020-02-19 07:39:00,West 10Th And West Ave in Austin (TX),Stray,Normal,Dog,Great Dane,Blue Merle/White,2020-02-23 11:38:00,2019-11-12 00:00:00,False,Not neutered,Male,Not neutered,91,91.0,4 days 03:59:00.000000000,2,2,4.0,Austin (TX),other,Blue
A813816,2020-02-19 07:33:00,2312 Western Trails in Austin (TX),Stray,Injured,Cat,Domestic Shorthair,Black,2020-02-19 12:58:00,2018-02-19 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 05:25:00.000000000,2,2,0.0,Austin (TX),Domestic Mixed Dog,Black
A813814,2020-02-18 20:56:00,1912 E 7Th in Austin (TX),Stray,Normal,Dog,Rat Terrier/Chihuahua Shorthair,White/Tan,2020-02-25 11:39:00,2019-02-19 00:00:00,False,Not neutered,Female,Not neutered,335,365.0,6 days 14:43:00.000000000,2,2,6.0,Austin (TX),other,White
A813813,2020-02-18 20:56:00,1912 E 7Th in Austin (TX),Stray,Normal,Dog,Rat Terrier/Chihuahua Shorthair,Black,2020-02-25 11:38:00,2019-02-19 00:00:00,False,Not neutered,Female,Not neutered,335,365.0,6 days 14:42:00.000000000,2,2,6.0,Austin (TX),other,Black
A813809,2020-02-18 18:55:00,508 East Howard Lane in Austin (TX),Stray,Normal,Cat,Domestic Shorthair,Orange Tabby/White,2020-02-21 18:42:00,2019-02-18 00:00:00,False,Not neutered,Female,Not neutered,365,365.0,2 days 23:47:00.000000000,2,2,2.0,Austin (TX),Domestic Mixed Dog,Orange 
A813808,2020-02-18 18:54:00,1767 Cricket Hollow in Austin (TX),Stray,Injured,Cat,Domestic Shorthair,Gray/White,2020-02-24 00:00:00,2008-02-18 00:00:00,False,Not neutered,Female,Not neutered,4380,4380.0,5 days 05:06:00.000000000,2,2,5.0,Austin (TX),Domestic Mixed Dog,Gray
A813806,2020-02-18 18:21:00,1207 N Mopac in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-02-18 18:52:00,2019-02-18 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 00:31:00.000000000,2,2,0.0,Austin (TX),Bat,Brown
A813804,2020-02-18 16:49:00,22Nd And Rio Grande in Austin (TX),Stray,Normal,Dog,Labrador Retriever/Great Pyrenees,Cream,2020-02-19 11:21:00,2018-02-18 00:00:00,False,Not neutered,Male,Not neutered,730,730.0,0 days 18:32:00.000000000,2,2,0.0,Austin (TX),Labrador Retriever,Gold
A813802,2020-02-18 16:32:00,Webberville (TX),Owner Surrender,Normal,Cat,Domestic Longhair,Brown Tabby,2020-02-21 18:30:00,2019-06-18 00:00:00,False,Not neutered,Female,Neutered,243,243.0,3 days 01:58:00.000000000,2,2,3.0,Webberville (TX),Domestic Mixed Dog,Brown
A813801,2020-02-18 16:32:00,Webberville (TX),Owner Surrender,Normal,Cat,Domestic Longhair,Brown Tabby/White,2020-02-22 17:06:00,2019-06-18 00:00:00,False,Not neutered,Female,Neutered,243,243.0,4 days 00:34:00.000000000,2,2,4.0,Webberville (TX),Domestic Mixed Dog,Brown
A813800,2020-02-18 16:51:00,7910 Cameron Road in Austin (TX),Stray,Normal,Dog,Labrador Retriever,Red/White,2020-02-28 12:25:00,2019-02-18 00:00:00,False,Not neutered,Female,Neutered,365,365.0,9 days 19:34:00.000000000,2,2,9.0,Austin (TX),Labrador Retriever,Red
A813798,2020-02-18 16:06:00,Austin (TX),Owner Surrender,Normal,Other,Guinea Pig,Tricolor,2020-02-23 15:32:00,2019-11-18 00:00:00,False,Not neutered,,Not neutered,91,91.0,4 days 23:26:00.000000000,2,2,4.0,Austin (TX),Guinea Pig,Tricolor
